,negative_format,year,budget,genres,film_type
0,35 mm,2006,225000000,Action,F
1,Video,2006,40000000,Action,F
2,Video,2006,40000000,Thriller,D
3,Video,2006,40000000,Drama,D
4,Video,2006,40000000,Adventure,D
5,Video,2006,40000000,Action,D
6,35 mm,2006,40000000,Thriller,F
7,35 mm,2006,40000000,Drama,F
8,35 mm,2006,40000000,Adventure,F
9,35 mm,2006,40000000,Action,F
10,Video,2006,40000000,Adventure,F
11,35 mm,2006,40000000,Thriller,D
12,35 mm,2006,40000000,Adventure,D
13,35 mm,2006,40000000,Action,D
14,16 mm,2006,40000000,Thriller,F
15,16 mm,2006,40000000,Drama,F
16,16 mm,2006,40000000,Adventure,F
17,16 mm,2006,40000000,Action,F
18,16 mm,2006,40000000,Thriller,D
19,16 mm,2006,40000000,Drama,D
20,16 mm,2006,40000000,Adventure,D
21,35 mm,2006,40000000,Drama,D
22,Video,2006,40000000,Drama,F
23,Video,2006,40000000,Thriller,F
24,35 mm,2006,50000000,Crime,F
25,35 mm,2006,65000000,Sport,F
26,35 mm,2006,65000000,Drama,F
27,65 mm,2006,0,Short,F
28,65 mm,2006,0,Documentary,F
29,Video,2006,50000000,Mystery,F
30,Video,2006,50000000,Horror,F
31,Video,2006,50000000,Adventure,F
32,Video,2006,50000000,Mystery,D
33,Video,2006,50000000,Horror,D
34,Video,2006,50000000,Adventure,D
35,35 mm,2006,50000000,Mystery,F
36,35 mm,2006,50000000,Horror,F
37,35 mm,2006,50000000,Adventure,F
38,35 mm,2006,50000000,Mystery,D
39,35 mm,2006,50000000,Horror,D
40,35 mm,2006,50000000,Adventure,D
41,35 mm,2006,15000000,Thriller,F
42,35 mm,2006,15000000,Horror,F
43,35 mm,2006,20000000,Romance,F
44,35 mm,2006,20000000,Comedy,F
45,35 mm,2006,50000000,Thriller,F
46,16 mm,2006,40000000,Action,D
47,35 mm,2006,30000000,Drama,F
48,35 mm,2006,40000000,Romance,F
49,35 mm,2006,40000000,Drama,F
50,Digital,2006,50000000,Comedy,D
51,Digital,2006,50000000,Animation,D
52,Digital,2006,50000000,Adventure,D
53,35 mm,2006,35000000,Sport,F
54,35 mm,2006,35000000,Family,F
55,35 mm,2006,35000000,Comedy,F
56,35 mm,2006,35000000,Action,F
57,35 mm,2006,8000000,Drama,F
58,35 mm,2006,8000000,Comedy,F
59,Digital,2006,50000000,Family,D
60,35 mm,2006,90000000,Thriller,F
61,35 mm,2006,90000000,Drama,F
62,35 mm,2006,160000000,Thriller,F
63,35 mm,2006,160000000,Drama,F
64,35 mm,2006,160000000,Adventure,F
65,35 mm,2006,160000000,Action,F
66,35 mm,2006,60000000,Fantasy,F
67,35 mm,2006,60000000,Family,F
68,35 mm,2006,60000000,Comedy,F
69,35 mm,2006,45000000,Thriller,F
70,35 mm,2006,90000000,History,F
71,,2006,64000000,Drama,U
72,,2006,64000000,Short,U
73,35 mm,2006,40000000,Biography,F
74,35 mm,2006,40000000,Thriller,F
75,35 mm,2006,40000000,Sci-Fi,F
76,35 mm,2006,40000000,Mystery,F
77,35 mm,2006,40000000,Drama,F
78,35 mm,2006,25000000,Thriller,F
79,35 mm,2006,25000000,Horror,F
80,35 mm,2006,25000000,Horror,F
81,35 mm,2006,70000000,Drama,F
82,35 mm,2006,70000000,Adventure,F
83,35 mm,2006,70000000,Action,F
84,Video,2006,15000000,Drama,U
85,Video,2006,15000000,Biography,U
86,35 mm,2006,15000000,Drama,U
87,35 mm,2006,15000000,Biography,U
88,16 mm,2006,15000000,Drama,U
89,16 mm,2006,15000000,Biography,U
90,35 mm,2006,100000000,Thriller,F
91,35 mm,2006,100000000,Drama,F
92,35 mm,2006,100000000,Adventure,F
93,35 mm,2006,40000000,Sport,F
94,35 mm,2006,40000000,Drama,F
95,35 mm,2006,40000000,Fantasy,F
96,35 mm,2006,45000000,Sci-Fi,F
97,35 mm,2006,30000000,Sport,F
98,35 mm,2006,75000000,Fantasy,F
99,Video,2006,53000000,Drama,F
100,Video,2006,53000000,War,D
101,Video,2006,53000000,History,D
102,Video,2006,53000000,Drama,D
103,35 mm,2006,53000000,War,F
104,35 mm,2006,53000000,History,F
105,35 mm,2006,53000000,Drama,F
106,35 mm,2006,53000000,War,D
107,35 mm,2006,53000000,History,D
108,Video,2006,53000000,History,F
109,35 mm,2006,53000000,Drama,D
110,35 mm,2006,25000000,Romance,F
111,35 mm,2006,25000000,Comedy,F
112,35 mm,2006,33000000,Thriller,F
113,35 mm,2006,33000000,Drama,F
114,35 mm,2006,33000000,Crime,F
115,35 mm,2006,33000000,Adventure,F
116,35 mm,2006,33000000,Action,F
117,35 mm,2006,20000000,Drama,F
118,16 mm,2006,20000000,Drama,F
119,35 mm,2006,25000000,Sport,F
120,Video,2006,53000000,War,F
121,16 mm,2006,18000000,Drama,F
122,16 mm,2006,18000000,History,F
123,35 mm,2006,17000000,Action,F
124,35 mm,2006,17000000,Crime,F
125,35 mm,2006,17000000,Drama,F
126,35 mm,2006,17000000,Thriller,F
127,35 mm,2006,60000000,Fantasy,F
128,35 mm,2006,60000000,Action,F
129,Digital,2006,45000000,Fantasy,D
130,Digital,2006,45000000,Family,D
131,Digital,2006,45000000,Comedy,D
132,Digital,2006,45000000,Animation,D
133,Digital,2006,45000000,Adventure,D
134,35 mm,2006,60000000,Fantasy,F
135,35 mm,2006,60000000,Family,F
136,35 mm,2006,60000000,Comedy,F
137,35 mm,2006,60000000,Animation,F
138,35 mm,2006,10000000,Romance,F
139,35 mm,2006,10000000,Comedy,F
140,35 mm,2006,18000000,Thriller,F
141,35 mm,2006,18000000,History,F
142,35 mm,2006,18000000,Drama,F
143,16 mm,2006,18000000,Thriller,F
144,35 mm,2006,30000000,Music,F
145,35 mm,2006,75000000,Drama,F
146,35 mm,2006,30000000,Drama,F
147,35 mm,2006,51000000,Comedy,F
148,35 mm,2006,45000000,Comedy,F
149,35 mm,2006,30000000,Sport,F
150,35 mm,2006,30000000,Drama,F
151,35 mm,2006,30000000,Crime,F
152,35 mm,2006,20000000,Thriller,F
153,35 mm,2006,20000000,Horror,F
154,35 mm,2006,16000000,Horror,F
155,35 mm,2006,16500000,Thriller,F
156,35 mm,2006,16500000,Romance,F
157,35 mm,2006,16000000,Drama,F
158,35 mm,2006,16500000,Mystery,F
159,35 mm,2006,30000000,Romance,F
160,35 mm,2006,30000000,Fantasy,F
161,35 mm,2006,30000000,Drama,F
162,35 mm,2006,30000000,Comedy,F
163,35 mm,2006,18000000,Romance,F
164,35 mm,2006,18000000,Comedy,F
165,35 mm,2006,17000000,Horror,F
166,35 mm,2006,75000000,Thriller,F
167,35 mm,2006,75000000,Mystery,F
168,35 mm,2006,16500000,Drama,F
169,35 mm,2006,16000000,Fantasy,F
170,35 mm,2006,16000000,War,F
171,35 mm,2006,35000000,Drama,F
172,35 mm,2006,76000000,Thriller,F
173,35 mm,2006,76000000,Sci-Fi,F
174,35 mm,2006,76000000,Drama,F
175,35 mm,2006,60000000,Thriller,F
176,35 mm,2006,60000000,Crime,F
177,35 mm,2006,60000000,Action,F
178,35 mm,2006,23000000,Comedy,F
179,35 mm,2006,45000000,Thriller,F
180,35 mm,2006,45000000,Drama,F
181,35 mm,2006,45000000,Crime,F
182,35 mm,2006,45000000,Action,F
183,Digital,2006,80000000,Family,D
184,Digital,2006,80000000,Comedy,D
185,Digital,2006,80000000,Animation,D
186,Digital,2006,80000000,Adventure,D
187,35 mm,2006,20000000,Thriller,F
188,35 mm,2006,20000000,Romance,F
189,35 mm,2006,20000000,Drama,F
190,35 mm,2006,20000000,Comedy,F
191,35 mm,2006,35000000,History,F
192,35 mm,2006,35000000,Family,F
193,35 mm,2006,51000000,Family,F
194,35 mm,2006,45000000,Fantasy,F
195,35 mm,2006,30000000,Biography,F
196,35 mm,2006,45000000,Action,F
197,35 mm,2006,90000000,Crime,F
198,Video,2006,150000000,Thriller,F
199,Video,2006,150000000,Adventure,F
200,Video,2006,150000000,Action,F
201,Video,2006,150000000,Thriller,D
202,Video,2006,150000000,Adventure,D
203,Video,2006,150000000,Action,D
204,35 mm,2006,150000000,Thriller,F
205,35 mm,2006,150000000,Adventure,F
206,35 mm,2006,90000000,Drama,F
207,35 mm,2006,150000000,Action,F
208,35 mm,2006,150000000,Adventure,D
209,35 mm,2006,150000000,Action,D
210,Video,2006,82500000,Romance,D
211,Video,2006,82500000,Fantasy,D
212,Video,2006,82500000,Drama,D
213,Video,2006,82500000,Comedy,D
214,35 mm,2006,73000000,Sport,F
215,35 mm,2006,73000000,Comedy,F
216,Digital,2006,80000000,Family,D
217,35 mm,2006,150000000,Thriller,D
218,35 mm,2006,90000000,Thriller,F
219,Video,2006,18000000,Comedy,D
220,35 mm,2006,35000000,Comedy,F
221,35 mm,2006,12000000,Comedy,F
222,35 mm,2006,12000000,Adventure,F
223,Digital,2006,85000000,Family,D
224,Digital,2006,85000000,Comedy,D
225,Digital,2006,85000000,Animation,D
226,Digital,2006,85000000,Adventure,D
227,35 mm,2006,50000000,Thriller,F
228,35 mm,2006,50000000,Mystery,F
229,35 mm,2006,50000000,Drama,F
230,35 mm,2006,50000000,Crime,F
231,35 mm,2006,50000000,Romance,F
232,35 mm,2006,50000000,Comedy,F
233,Video,2006,40000000,Horror,D
234,Video,2006,40000000,Comedy,D
235,35 mm,2006,75000000,Musical,F
236,35 mm,2006,75000000,Music,F
237,35 mm,2006,75000000,Drama,F
238,35 mm,2006,52000000,Romance,F
239,35 mm,2006,52000000,Drama,F
240,35 mm,2006,52000000,Comedy,F
241,35 mm,2006,35000000,Drama,F
242,Digital,2006,80000000,Comedy,D
243,Digital,2006,80000000,Animation,D
244,Digital,2006,80000000,Adventure,D
245,35 mm,2006,55000000,Drama,F
246,35 mm,2006,232000000,Sci-Fi,D
247,35 mm,2006,232000000,Adventure,D
248,35 mm,2006,232000000,Action,D
249,35 mm,2006,125000000,Thriller,F
250,35 mm,2006,125000000,Mystery,F
251,35 mm,2006,210000000,Thriller,F
252,35 mm,2006,210000000,Sci-Fi,F
253,35 mm,2006,210000000,Fantasy,F
254,35 mm,2006,210000000,Adventure,F
255,35 mm,2006,210000000,Action,F
256,Digital,2006,70000000,Sport,D
257,Digital,2006,70000000,Family,D
258,Digital,2006,70000000,Comedy,D
259,Digital,2006,70000000,Animation,D
260,35 mm,2006,45000000,Adventure,F
261,35 mm,2006,110000000,Fantasy,F
262,35 mm,2006,110000000,Family,F
263,35 mm,2006,225000000,Adventure,F
264,35 mm,2006,225000000,Fantasy,F
265,35 mm,2006,110000000,Adventure,F
266,35 mm,2006,110000000,Comedy,F
267,35 mm,2006,232000000,Action,F
268,35 mm,2006,12000000,Family,F
269,35 mm,2006,232000000,Adventure,F
270,HDCAM,2006,232000000,Action,D
271,35 mm,2006,55000000,Biography,F
272,35 mm,2006,102000000,Thriller,F
273,35 mm,2006,102000000,Adventure,F
274,35 mm,2006,102000000,Action,F
275,Digital,2006,75000000,Fantasy,D
276,Digital,2006,75000000,Family,D
277,Digital,2006,75000000,Comedy,D
278,Digital,2006,75000000,Animation,D
279,Digital,2006,75000000,Adventure,D
280,Digital,2006,75000000,Action,D
281,Digital,2006,85000000,Romance,D
282,Digital,2006,85000000,Musical,D
283,Digital,2006,85000000,Music,D
284,Digital,2006,85000000,Family,D
285,Digital,2006,85000000,Comedy,D
286,Digital,2006,85000000,Animation,D
287,HDCAM,2006,232000000,Sci-Fi,F
288,HDCAM,2006,232000000,Adventure,F
289,HDCAM,2006,232000000,Action,F
290,HDCAM,2006,232000000,Sci-Fi,D
291,HDCAM,2006,232000000,Adventure,D
292,35 mm,2006,232000000,Sci-Fi,F
293,35 mm,2006,12000000,Fantasy,F
294,35 mm,2006,73000000,Action,F
295,Video,2006,80000000,Action,D
296,Video,2006,80000000,Thriller,D
297,Video,2006,80000000,Sci-Fi,D
298,Video,2006,80000000,Crime,D
299,35 mm,2006,80000000,Thriller,F
300,35 mm,2006,80000000,Sci-Fi,F
301,35 mm,2006,80000000,Crime,F
302,35 mm,2006,80000000,Action,F
303,35 mm,2006,80000000,Thriller,D
304,35 mm,2006,80000000,Sci-Fi,D
305,Video,2006,80000000,Action,F
306,35 mm,2006,80000000,Crime,D
307,Digital,2006,149000000,Family,D
308,Digital,2006,149000000,Comedy,D
309,Digital,2006,149000000,Animation,D
310,35 mm,2006,12000000,Romance,F
311,35 mm,2006,12000000,Music,F
312,35 mm,2006,12000000,Drama,F
313,35 mm,2006,12000000,Crime,F
314,35 mm,2006,40000000,Crime,F
315,35 mm,2006,40000000,Comedy,F
316,35 mm,2006,80000000,Action,D
317,Video,2006,80000000,Crime,F
318,Video,2006,80000000,Sci-Fi,F
319,Video,2006,80000000,Thriller,F
320,35 mm,2006,10000000,Romance,F
321,35 mm,2006,85000000,Action,F
322,35 mm,2006,85000000,Crime,F
323,35 mm,2006,85000000,Thriller,F
324,35 mm,2006,10000000,Comedy,F
325,35 mm,2006,10000000,Drama,F
326,35 mm,2006,85000000,Romance,F
327,35 mm,2006,82500000,Comedy,F
328,35 mm,2006,85000000,Comedy,F
329,Video,2006,135000000,Thriller,F
330,Video,2006,135000000,Crime,F
331,Video,2006,135000000,Action,F
332,Video,2006,135000000,Thriller,D
333,Video,2006,135000000,Crime,D
334,Video,2006,135000000,Action,D
335,35 mm,2006,135000000,Thriller,F
336,35 mm,2006,135000000,Crime,F
337,35 mm,2006,135000000,Action,F
338,35 mm,2006,135000000,Thriller,D
339,35 mm,2006,135000000,Crime,D
340,35 mm,2006,135000000,Action,D
341,Video,2006,24000000,Sport,U
342,Video,2006,24000000,Drama,U
343,Digital,2006,149000000,Adventure,D
344,Video,2006,24000000,Drama,F
345,Digital,2006,75000000,Animation,D
346,Digital,2006,75000000,Adventure,D
347,35 mm,2006,100000000,Fantasy,F
348,35 mm,2006,100000000,Family,F
349,35 mm,2006,100000000,Adventure,F
350,35 mm,2006,100000000,Action,F
351,Video,2006,24000000,Sport,F
352,35 mm,2006,54000000,Comedy,F
353,35 mm,2006,32000000,Sport,F
354,35 mm,2006,32000000,Family,F
355,Digital,2006,75000000,Comedy,D
356,35 mm,2006,32000000,Comedy,F
357,35 mm,2006,40000000,Family,F
358,35 mm,2006,40000000,Drama,F
359,35 mm,2006,40000000,Adventure,F
360,35 mm,2006,80000000,Mystery,F
361,35 mm,2006,80000000,Family,F
362,35 mm,2006,80000000,Crime,F
363,35 mm,2006,80000000,Comedy,F
364,35 mm,2006,80000000,Adventure,F
365,35 mm,2006,82500000,Fantasy,F
366,35 mm,2006,82500000,Family,F
367,35 mm,2006,10000000,Horror,F
368,Digital,2006,75000000,Family,D
369,35 mm,2006,54000000,Romance,F
370,Digital,2006,75000000,Mystery,D
371,35 mm,2006,24000000,Sport,U
372,35 mm,2006,24000000,Drama,U
373,35 mm,2006,24000000,Sport,F
374,35 mm,2006,24000000,Drama,F
375,35 mm,2006,65000000,Thriller,F
376,Digital,2006,75000000,Fantasy,D
377,35 mm,2006,65000000,Drama,F
378,35 mm,2006,55000000,Family,F
379,35 mm,2006,55000000,Comedy,F
380,35 mm,2006,55000000,Adventure,F
381,35 mm,2006,65000000,History,F
382,Video,2006,11000000,Comedy,D
383,Video,2006,11000000,Documentary,D
384,35 mm,2006,11000000,Action,D
385,Digital,2006,51000000,Comedy,D
386,Digital,2006,51000000,Animation,D
387,35 mm,2006,11000000,Comedy,D
388,35 mm,2006,11000000,Documentary,D
389,Video,2006,11000000,Action,D
390,Digital,2006,51000000,Family,D
391,35 mm,2007,20000000,Adventure,F
392,35 mm,2007,70000000,Drama,F
393,35 mm,2007,20000000,Comedy,F
394,35 mm,2007,70000000,Romance,F
395,35 mm,2007,70000000,Fantasy,F
396,35 mm,2007,70000000,Family,F
397,35 mm,2007,70000000,Adventure,F
398,35 mm,2007,70000000,Crime,F
399,35 mm,2007,0,Thriller,F
400,35 mm,2007,0,Drama,F
401,35 mm,2007,0,Crime,F
402,35 mm,2007,30000000,Thriller,F
403,35 mm,2007,30000000,Horror,F
404,35 mm,2007,70000000,Thriller,F
405,35 mm,2007,17500000,Thriller,F
406,35 mm,2007,17500000,Drama,F
407,35 mm,2007,17500000,Crime,F
408,35 mm,2007,17500000,Action,F
409,35 mm,2007,0,Mystery,F
410,35 mm,2007,60000000,Comedy,F
411,35 mm,2007,13000000,Comedy,F
412,35 mm,2007,21000000,Biography,F
413,35 mm,2007,85000000,History,F
414,35 mm,2007,25000000,History,F
415,35 mm,2007,85000000,Drama,F
416,35 mm,2007,85000000,Crime,F
417,35 mm,2007,85000000,Thriller,D
418,35 mm,2007,85000000,Mystery,D
419,35 mm,2007,85000000,History,D
420,35 mm,2007,85000000,Drama,D
421,35 mm,2007,85000000,Crime,D
422,35 mm,2007,60000000,Romance,F
423,35 mm,2007,25000000,Family,F
424,35 mm,2007,25000000,Romance,F
425,35 mm,2007,25000000,Comedy,F
426,35 mm,2007,32000000,Thriller,F
427,35 mm,2007,32000000,Mystery,F
428,35 mm,2007,16000000,Thriller,F
429,35 mm,2007,16000000,Mystery,F
430,35 mm,2007,16000000,Horror,F
431,35 mm,2007,21000000,Drama,F
432,35 mm,2007,21000000,Crime,F
433,35 mm,2007,25000000,Comedy,F
434,35 mm,2007,25000000,Drama,F
435,35 mm,2007,21500000,Thriller,F
436,35 mm,2007,40000000,Family,F
437,Video,2007,72500000,Action,F
438,Video,2007,72500000,Thriller,D
439,Video,2007,72500000,Drama,D
440,Video,2007,72500000,Action,D
441,35 mm,2007,72500000,Thriller,F
442,35 mm,2007,72500000,Drama,F
443,35 mm,2007,72500000,Action,F
444,35 mm,2007,72500000,Thriller,D
445,35 mm,2007,72500000,Drama,D
446,35 mm,2007,72500000,Action,D
447,35 mm,2007,25000000,Romance,F
448,35 mm,2007,25000000,Drama,F
449,35 mm,2007,25000000,Comedy,F
450,35 mm,2007,20000000,Thriller,F
451,35 mm,2007,20000000,Mystery,F
452,35 mm,2007,20000000,Drama,F
453,35 mm,2007,21500000,Drama,F
454,35 mm,2007,21500000,Crime,F
455,35 mm,2007,13000000,Romance,F
456,35 mm,2007,13000000,Drama,F
457,35 mm,2007,85000000,Mystery,F
458,Video,2007,72500000,Drama,F
459,35 mm,2007,40000000,Fantasy,F
460,Video,2007,72500000,Thriller,F
461,35 mm,2007,60000000,Crime,F
462,35 mm,2007,40000000,Adventure,F
463,35 mm,2007,40000000,Thriller,F
464,35 mm,2007,40000000,Sci-Fi,F
465,35 mm,2007,40000000,Horror,F
466,35 mm,2007,40000000,Action,F
467,35 mm,2007,39000000,Romance,F
468,35 mm,2007,39000000,Comedy,F
469,35 mm,2007,28000000,Romance,F
470,35 mm,2007,28000000,Drama,F
471,35 mm,2007,28000000,Comedy,F
472,35 mm,2007,0,Sci-Fi,F
473,35 mm,2007,0,Fantasy,F
474,35 mm,2007,0,Family,F
475,35 mm,2007,0,Comedy,F
476,35 mm,2007,0,Adventure,F
477,35 mm,2007,0,Action,F
478,35 mm,2007,35000000,Romance,F
479,35 mm,2007,35000000,Comedy,F
480,35 mm,2007,60000000,Thriller,F
481,35 mm,2007,60000000,Mystery,F
482,35 mm,2007,60000000,Drama,F
483,35 mm,2007,60000000,Action,F
484,35 mm,2007,85000000,Thriller,F
485,,2007,0,Animation,U
486,Uncompressed Digital,2007,85000000,Drama,D
487,35 mm,2007,53000000,Thriller,D
488,35 mm,2007,53000000,Horror,D
489,35 mm,2007,53000000,Action,D
490,35 mm,2007,40000000,Thriller,F
491,35 mm,2007,40000000,Horror,F
492,35 mm,2007,20000000,Thriller,F
493,35 mm,2007,20000000,Romance,F
494,35 mm,2007,20000000,Mystery,F
495,35 mm,2007,20000000,Family,F
496,35 mm,2007,20000000,Crime,F
497,35 mm,2007,20000000,Comedy,F
498,35 mm,2007,13000000,Thriller,F
499,35 mm,2007,13000000,Sci-Fi,F
500,35 mm,2007,13000000,Horror,F
501,35 mm,2007,22000000,Sport,F
502,35 mm,2007,22000000,Romance,F
503,35 mm,2007,22000000,Comedy,F
504,35 mm,2007,20000000,Romance,F
505,35 mm,2007,20000000,Drama,F
506,35 mm,2007,20000000,Comedy,F
507,35 mm,2007,50000000,Thriller,F
508,35 mm,2007,53000000,Action,F
509,35 mm,2007,50000000,Drama,F
510,35 mm,2007,53000000,Horror,F
511,Video,2007,53000000,Action,D
512,35 mm,2007,28000000,Fantasy,F
513,HDV,2007,450000,Thriller,D
514,HDV,2007,450000,Mystery,D
515,HDV,2007,450000,Horror,D
516,,2007,0,Short,U
517,,2007,0,Documentary,U
518,,2007,0,Adventure,U
519,35 mm,2007,60795000,Thriller,F
520,35 mm,2007,60795000,Mystery,F
521,35 mm,2007,60795000,Crime,F
522,35 mm,2007,45000000,Romance,F
523,35 mm,2007,45000000,Musical,F
524,35 mm,2007,45000000,Fantasy,F
525,35 mm,2007,45000000,Drama,F
526,Video,2007,9000000,Drama,U
527,Video,2007,9000000,Documentary,U
528,Video,2007,53000000,Thriller,F
529,Video,2007,53000000,Horror,F
530,Video,2007,53000000,Action,F
531,Video,2007,53000000,Thriller,D
532,Video,2007,53000000,Horror,D
533,35 mm,2007,53000000,Thriller,F
534,35 mm,2007,50000000,Crime,F
535,35 mm,2007,20000000,Thriller,F
536,35 mm,2007,20000000,Drama,F
537,35 mm,2007,25000000,Music,F
538,35 mm,2007,25000000,Drama,F
539,35 mm,2007,65000000,Fantasy,F
540,35 mm,2007,65000000,Family,F
541,35 mm,2007,65000000,Comedy,F
542,Video,2007,0,Sport,D
543,Video,2007,0,Crime,D
544,Video,2007,0,Comedy,D
545,35 mm,2007,0,Thriller,F
546,35 mm,2007,0,History,F
547,35 mm,2007,0,Drama,F
548,35 mm,2007,0,Crime,F
549,35 mm,2007,0,Biography,F
550,Uncompressed Digital,2007,85000000,Thriller,F
551,Uncompressed Digital,2007,85000000,Mystery,F
552,Uncompressed Digital,2007,85000000,History,F
553,Uncompressed Digital,2007,85000000,Drama,F
554,Uncompressed Digital,2007,85000000,Crime,F
555,Uncompressed Digital,2007,85000000,Thriller,D
556,Uncompressed Digital,2007,85000000,Mystery,D
557,Uncompressed Digital,2007,85000000,History,D
558,35 mm,2007,10000000,Drama,F
559,35 mm,2007,10000000,Romance,F
560,35 mm,2007,15000000,Biography,F
561,35 mm,2007,15000000,Drama,F
562,35 mm,2007,20000000,Crime,F
563,35 mm,2007,28000000,Thriller,F
564,35 mm,2007,28000000,Drama,F
565,35 mm,2007,28000000,Crime,F
566,Video,2007,15000000,Sci-Fi,F
567,Video,2007,15000000,Horror,F
568,Video,2007,15000000,Drama,F
569,Video,2007,15000000,Sci-Fi,D
570,Video,2007,15000000,Horror,D
571,Video,2007,15000000,Drama,D
572,Uncompressed Digital,2007,85000000,Crime,D
573,35 mm,2007,15000000,Horror,F
574,35 mm,2007,15000000,Sci-Fi,D
575,35 mm,2007,15000000,Horror,D
576,35 mm,2007,15000000,Drama,D
577,16 mm,2007,15000000,Sci-Fi,F
578,16 mm,2007,15000000,Horror,F
579,16 mm,2007,15000000,Drama,F
580,16 mm,2007,15000000,Sci-Fi,D
581,16 mm,2007,15000000,Horror,D
582,16 mm,2007,15000000,Drama,D
583,35 mm,2007,15000000,Romance,F
584,35 mm,2007,15000000,Drama,F
585,35 mm,2007,28000000,Family,F
586,35 mm,2007,15000000,Sci-Fi,F
587,35 mm,2007,40000000,Romance,F
588,Video,2007,120000000,Adventure,F
589,Video,2007,120000000,Action,F
590,Video,2007,120000000,Thriller,D
591,Video,2007,120000000,Sci-Fi,D
592,Video,2007,120000000,Fantasy,D
593,Video,2007,120000000,Adventure,D
594,Video,2007,120000000,Action,D
595,35 mm,2007,120000000,Thriller,F
596,35 mm,2007,120000000,Sci-Fi,F
597,35 mm,2007,120000000,Fantasy,F
598,35 mm,2007,120000000,Adventure,F
599,35 mm,2007,120000000,Action,F
600,35 mm,2007,258000000,Action,F
601,35 mm,2007,120000000,Thriller,D
602,35 mm,2007,120000000,Sci-Fi,D
603,35 mm,2007,120000000,Fantasy,D
604,35 mm,2007,120000000,Adventure,D
605,35 mm,2007,120000000,Action,D
606,35 mm,2007,110000000,Thriller,F
607,35 mm,2007,110000000,Adventure,F
608,35 mm,2007,110000000,Action,F
609,Video,2007,120000000,Fantasy,F
610,35 mm,2007,180000000,Thriller,F
611,Video,2007,120000000,Sci-Fi,F
612,35 mm,2007,100000000,Biography,F
613,35 mm,2007,75000000,Drama,F
614,35 mm,2007,75000000,Comedy,F
615,Video,2007,85000000,Romance,D
616,Video,2007,85000000,Comedy,D
617,Video,2007,17500000,Comedy,F
618,Video,2007,17500000,Comedy,D
619,35 mm,2007,17500000,Comedy,F
620,35 mm,2007,17500000,Comedy,D
621,Digital,2007,150000000,Family,D
622,Digital,2007,150000000,Comedy,D
623,Digital,2007,150000000,Animation,D
624,Digital,2007,150000000,Adventure,D
625,35 mm,2007,85000000,Romance,F
626,35 mm,2007,85000000,Musical,F
627,35 mm,2007,85000000,Fantasy,F
628,35 mm,2007,85000000,Family,F
629,35 mm,2007,85000000,Comedy,F
630,35 mm,2007,85000000,Animation,F
631,35 mm,2007,100000000,Thriller,F
632,35 mm,2007,100000000,Drama,F
633,35 mm,2007,100000000,Crime,F
634,Video,2007,120000000,Thriller,F
635,35 mm,2007,180000000,Crime,F
636,35 mm,2007,180000000,Comedy,F
637,35 mm,2007,180000000,Action,F
638,35 mm,2007,150000000,Thriller,F
639,35 mm,2007,150000000,Sci-Fi,F
640,35 mm,2007,150000000,Horror,F
641,35 mm,2007,150000000,Drama,F
642,35 mm,2007,150000000,Mystery,F
643,35 mm,2007,150000000,Fantasy,F
644,35 mm,2007,150000000,Family,F
645,35 mm,2007,150000000,Adventure,F
646,35 mm,2007,300000000,Fantasy,F
647,35 mm,2007,300000000,Adventure,F
648,35 mm,2007,300000000,Action,F
649,35 mm,2007,151000000,Sci-Fi,F
650,35 mm,2007,151000000,Adventure,F
651,35 mm,2007,151000000,Action,F
652,Digital,2007,160000000,Fantasy,D
653,Digital,2007,160000000,Family,D
654,Digital,2007,160000000,Comedy,D
655,Digital,2007,160000000,Animation,D
656,35 mm,2007,258000000,Adventure,F
657,Digital,2007,160000000,Adventure,D
658,35 mm,2007,28000000,Comedy,F
659,35 mm,2007,130000000,Action,F
660,35 mm,2007,130000000,Mystery,F
661,35 mm,2007,130000000,Thriller,F
662,35 mm,2007,130000000,Action,F
663,35 mm,2007,7000000,Comedy,F
664,35 mm,2007,27500000,Romance,F
665,35 mm,2007,27500000,Comedy,F
666,35 mm,2007,60000000,Comedy,F
667,35 mm,2007,60000000,Adventure,F
668,35 mm,2007,60000000,Action,F
669,Digital,2007,72500000,Comedy,D
670,Digital,2007,72500000,Animation,D
671,Digital,2007,72500000,Adventure,D
672,Digital,2007,150000000,Fantasy,D
673,35 mm,2007,75000000,Family,F
674,Digital,2007,150000000,Family,D
675,Digital,2007,150000000,Animation,D
676,,2007,55000000,Music,U
677,,2007,55000000,Fantasy,U
678,,2007,55000000,Family,U
679,,2007,55000000,Comedy,U
680,,2007,55000000,Animation,U
681,35 mm,2007,130000000,Thriller,F
682,35 mm,2007,130000000,Mystery,F
683,35 mm,2007,130000000,Family,F
684,35 mm,2007,130000000,Adventure,F
685,Digital,2007,150000000,Comedy,D
686,35 mm,2007,75000000,Music,F
687,35 mm,2007,7000000,Drama,F
688,35 mm,2007,75000000,Romance,F
689,Digital,2007,35000000,Adventure,D
690,Digital,2007,35000000,Action,D
691,35 mm,2007,15000000,Drama,F
692,35 mm,2007,15000000,Comedy,F
693,35 mm,2007,15000000,Horror,F
694,Digital,2007,100000000,Sport,D
695,Digital,2007,100000000,Family,D
696,Digital,2007,100000000,Comedy,D
697,Digital,2007,100000000,Animation,D
698,35 mm,2007,14000000,Romance,F
699,35 mm,2007,14000000,Music,F
