,director,negative_format,year,budget,genres,film_type
0,"Zwigoff, Terry",35 mm,2006,,Drama,F
1,"Davis, John A.",Digital,2006,45000000.0,Adventure,D
2,"Beresford, Bruce",35 mm,2006,,Thriller,F
3,"Beresford, Bruce",35 mm,2006,,Drama,F
4,"Beresford, Bruce",35 mm,2006,,Crime,F
5,"Beresford, Bruce",35 mm,2006,,Action,F
6,"Davis, John A.",Digital,2006,45000000.0,Animation,D
7,"Davis, Andrew",35 mm,2006,70000000.0,Drama,F
8,"Davis, John A.",Digital,2006,45000000.0,Comedy,D
9,"Davis, John A.",Digital,2006,45000000.0,Fantasy,D
10,"Davis, Tamra",,2006,,Documentary,U
11,"Dayton, Jonathan",35 mm,2006,8000000.0,Comedy,F
12,"Dayton, Jonathan",35 mm,2006,8000000.0,Drama,F
13,"De Niro, Robert",35 mm,2006,90000000.0,Drama,F
14,"De Niro, Robert",35 mm,2006,90000000.0,History,F
15,"Davis, John A.",Digital,2006,45000000.0,Family,D
16,"Davis, Andrew",35 mm,2006,70000000.0,Adventure,F
17,"Davis, Andrew",35 mm,2006,70000000.0,Action,F
18,"Lumet, Sidney",HDCAM,2006,,Biography,D
19,"Daldry, Stephen",35 mm,2006,,Sport,F
20,"Macdonald, Kevin",35 mm,2006,,History,F
21,"Macdonald, Kevin",35 mm,2006,,Drama,F
22,"Macdonald, Kevin",35 mm,2006,,Biography,F
23,"Macdonald, Kevin",16 mm,2006,,Thriller,F
24,"Macdonald, Kevin",16 mm,2006,,History,F
25,"Macdonald, Kevin",16 mm,2006,,Drama,F
26,"Macdonald, Kevin",16 mm,2006,,Biography,F
27,"Lynch, David",Mini DV,2006,,Thriller,D
28,"Lynch, David",Mini DV,2006,,Mystery,D
29,"Lynch, David",Mini DV,2006,,Drama,D
30,"Dante, Joe",,2006,,Horror,U
31,"Lumet, Sidney",HDCAM,2006,,Drama,D
32,"Lumet, Sidney",HDCAM,2006,,Crime,D
33,"Lumet, Sidney",HDCAM,2006,,Comedy,D
34,"De Niro, Robert",35 mm,2006,90000000.0,Thriller,F
35,"Macdonald, Kevin",35 mm,2006,,Thriller,F
36,"De Palma, Brian",35 mm,2006,,Crime,F
37,"Sonnenfeld, Barry",35 mm,2006,55000000.0,Adventure,F
38,"Linklater, Richard",Video,2006,,Thriller,U
39,"Linklater, Richard",Video,2006,,Sci-Fi,U
40,"Linklater, Richard",Video,2006,,Mystery,U
41,"Linklater, Richard",Video,2006,,Drama,U
42,"Linklater, Richard",Video,2006,,Crime,U
43,"Linklater, Richard",Video,2006,,Animation,U
44,"Linklater, Richard",16 mm,2006,,Comedy,F
45,"Bekmambetov, Timur",35 mm,2006,,Thriller,F
46,"Bekmambetov, Timur",35 mm,2006,,Action,F
47,"Demme, Jonathan",16 mm,2006,,Documentary,F
48,"Demme, Jonathan",16 mm,2006,,Music,F
49,"Lin, Justin",35 mm,2006,85000000.0,Thriller,F
50,"Lin, Justin",35 mm,2006,85000000.0,Crime,F
51,"Lin, Justin",35 mm,2006,85000000.0,Action,F
52,"Bekmambetov, Timur",35 mm,2006,,Fantasy,F
53,"Linklater, Richard",16 mm,2006,,Drama,F
54,"Linklater, Richard",16 mm,2006,,Romance,F
55,"del Toro, Guillermo",35 mm,2006,16000000.0,War,F
56,"Sonnenfeld, Barry",35 mm,2006,55000000.0,Comedy,F
57,"Sonnenfeld, Barry",35 mm,2006,55000000.0,Family,F
58,"Bell, William Brent",35 mm,2006,,Thriller,F
59,"Bell, William Brent",35 mm,2006,,Horror,F
60,"De Palma, Brian",35 mm,2006,,Mystery,F
61,"De Palma, Brian",35 mm,2006,,Thriller,F
62,"Dear, William",,2006,,Comedy,U
63,"Dear, William",,2006,,Horror,U
64,"Dear, William",,2006,,Thriller,U
65,"Lowery, David",,2006,,Short,U
66,"Lowery, David",,2006,,Animation,U
67,"Loncraine, Richard",35 mm,2006,50000000.0,Thriller,F
68,"Loncraine, Richard",35 mm,2006,50000000.0,Crime,F
69,"del Toro, Guillermo",35 mm,2006,16000000.0,Drama,F
70,"del Toro, Guillermo",35 mm,2006,16000000.0,Fantasy,F
71,"De Palma, Brian",35 mm,2006,,Drama,F
72,"Lin, Justin",35 mm,2006,,Sport,F
73,"MacGillivray, Greg",,2006,,Documentary,U
74,"Culton, Jill",Digital,2006,85000000.0,Family,D
75,McG,35 mm,2006,65000000.0,Drama,F
76,"McCulloch, Bruce",35 mm,2006,,Romance,F
77,"McCulloch, Bruce",35 mm,2006,,Comedy,F
78,"Small, Leslie",,2006,,Comedy,U
79,"Small, Leslie",,2006,,Documentary,U
80,"Craven, Wes",35 mm,2006,,Comedy,F
81,McG,35 mm,2006,65000000.0,Sport,F
82,"Smith, Kevin",35 mm,2006,,Comedy,F
83,"Craven, Wes",35 mm,2006,,Romance,F
84,"Maulucci, Damon",,2006,64000000.0,Short,U
85,"Snyder, Zack",35 mm,2006,60000000.0,Action,F
86,"Snyder, Zack",35 mm,2006,60000000.0,Fantasy,F
87,"Cretton, Destin Daniel",,2006,,Sci-Fi,U
88,"Cretton, Destin Daniel",,2006,,Short,U
89,"Craven, Wes",35 mm,2006,,Drama,F
90,"Core, Ericson",35 mm,2006,40000000.0,Sport,F
91,"Core, Ericson",35 mm,2006,40000000.0,Drama,F
92,"Core, Ericson",35 mm,2006,40000000.0,Biography,F
93,"Singer, Bryan",HDCAM,2006,232000000.0,Action,D
94,"Singer, Bryan",HDCAM,2006,232000000.0,Adventure,D
95,"Singer, Bryan",HDCAM,2006,232000000.0,Sci-Fi,D
96,"Singer, Bryan",HDCAM,2006,232000000.0,Action,F
97,"Singer, Bryan",HDCAM,2006,232000000.0,Adventure,F
98,"Singer, Bryan",HDCAM,2006,232000000.0,Sci-Fi,F
99,"McGuigan, Paul",35 mm,2006,,Drama,F
100,"Singh, Tarsem",35 mm,2006,,Adventure,F
101,"Singh, Tarsem",35 mm,2006,,Comedy,F
102,"Singh, Tarsem",35 mm,2006,,Drama,F
103,"Singh, Tarsem",35 mm,2006,,Fantasy,F
104,"McGuigan, Paul",35 mm,2006,,Crime,F
105,"McGrath, Douglas",35 mm,2006,,Drama,F
106,"McGrath, Douglas",35 mm,2006,,Crime,F
107,"McGrath, Douglas",35 mm,2006,,Biography,F
108,"Cretton, Destin Daniel",,2006,,Documentary,U
109,"MacGillivray, Greg",65 mm,2006,,Documentary,F
110,"Soderbergh, Steven",35 mm,2006,,Drama,F
111,"Soderbergh, Steven",35 mm,2006,,Thriller,F
112,"Mann, Michael",Video,2006,135000000.0,Crime,F
113,"Mann, Michael",Video,2006,135000000.0,Action,F
114,"Mann, Michael",Video,2006,135000000.0,Thriller,D
115,"Mann, Michael",Video,2006,135000000.0,Crime,D
116,"Mann, Michael",Video,2006,135000000.0,Action,D
117,"Mann, Michael",35 mm,2006,135000000.0,Thriller,F
118,"Mann, Michael",Video,2006,135000000.0,Thriller,F
119,"Mann, Michael",35 mm,2006,135000000.0,Crime,F
120,"Mann, Michael",35 mm,2006,135000000.0,Thriller,D
121,"Mann, Michael",35 mm,2006,135000000.0,Crime,D
122,"Mann, Michael",35 mm,2006,135000000.0,Action,D
123,"Culton, Jill",Digital,2006,85000000.0,Adventure,D
124,"Culton, Jill",Digital,2006,85000000.0,Animation,D
125,"Culton, Jill",Digital,2006,85000000.0,Comedy,D
126,"Mann, Michael",35 mm,2006,135000000.0,Action,F
127,"Cuarón, Alfonso",35 mm,2006,76000000.0,Thriller,F
128,"Cuarón, Alfonso",35 mm,2006,76000000.0,Sci-Fi,F
129,"Cuarón, Alfonso",35 mm,2006,76000000.0,Drama,F
130,"Soderbergh, Steven",,2006,,Sci-Fi,U
131,"Soderbergh, Steven",,2006,,Short,U
132,"Maulucci, Damon",,2006,64000000.0,Drama,U
133,"Besson, Luc",35 mm,2006,,Fantasy,F
134,"Besson, Luc",35 mm,2006,,Family,F
135,"Besson, Luc",35 mm,2006,,Animation,F
136,"Besson, Luc",35 mm,2006,,Adventure,F
137,"Cronk, Harold",,2006,,Action,U
138,"Cronk, Harold",,2006,,Short,U
139,"Marshall, Frank",35 mm,2006,40000000.0,Family,F
140,"Marshall, Frank",35 mm,2006,40000000.0,Drama,F
141,"Marshall, Frank",35 mm,2006,40000000.0,Adventure,F
142,"Cuarón, Alfonso",35 mm,2006,,Comedy,F
143,"Cuarón, Alfonso",35 mm,2006,,Drama,F
144,"Cuarón, Alfonso",35 mm,2006,,Romance,F
145,"Soderbergh, Steven",35 mm,2006,,Mystery,F
146,"Singer, Bryan",35 mm,2006,232000000.0,Sci-Fi,F
147,"Lin, Justin",35 mm,2006,,Romance,F
148,"Zwigoff, Terry",35 mm,2006,,Comedy,F
149,"King, Zalman",Video,2006,,Documentary,D
150,"King, Zalman",Video,2006,,Music,U
151,"King, Zalman",Video,2006,,Documentary,U
152,"King, Zalman",Video,2006,,Biography,U
153,"Eastwood, Clint",35 mm,2006,,Drama,D
154,"Taylor, Brian",Video,2006,,Action,D
155,"King, Zalman",Video,2006,,Music,D
156,"Taylor, Brian",Video,2006,,Crime,D
157,"Eastwood, Clint",35 mm,2006,,History,D
158,"Eastwood, Clint",35 mm,2006,,War,D
159,"Eastwood, Clint",35 mm,2006,,Drama,F
160,"Eastwood, Clint",35 mm,2006,,History,F
161,"Eastwood, Clint",35 mm,2006,,War,F
162,"Eastwood, Clint",Video,2006,,Drama,D
163,"Taylor, Brian",Video,2006,,Thriller,D
164,"Kirkpatrick, Karey",Digital,2006,80000000.0,Adventure,D
165,"Kirkpatrick, Karey",Digital,2006,80000000.0,Animation,D
166,"Kirkpatrick, Karey",Digital,2006,80000000.0,Comedy,D
167,"Barron, Steve",,2006,,Drama,U
168,"Krieger, Lee Toland",,2006,,Drama,U
169,"Kormákur, Baltasar",35 mm,2006,,Thriller,F
170,"Kormákur, Baltasar",35 mm,2006,,Drama,F
171,"Kormákur, Baltasar",35 mm,2006,,Crime,F
172,"Kormákur, Baltasar",16 mm,2006,,Thriller,F
173,"Kormákur, Baltasar",16 mm,2006,,Drama,F
174,"Kormákur, Baltasar",16 mm,2006,,Crime,F
175,"Kleiser, Randal",Uncompressed Digital,2006,,Musical,D
176,"Kleiser, Randal",Uncompressed Digital,2006,,Family,D
177,"Kleiser, Randal",Uncompressed Digital,2006,,Adventure,D
178,"Dunne, Griffin",,2006,,Short,U
179,"Kirkpatrick, Karey",Digital,2006,80000000.0,Family,D
180,"DuVernay, Ava",,2006,,Drama,U
181,"DuVernay, Ava",,2006,,Short,U
182,"Eastwood, Clint",Video,2006,,History,D
183,"Dugan, Dennis",35 mm,2006,35000000.0,Sport,F
184,"Eastwood, Clint",Video,2006,,War,D
185,"Eastwood, Clint",Video,2006,,History,F
186,"Kenan, Gil",Digital,2006,75000000.0,Fantasy,D
187,"Kenan, Gil",Digital,2006,75000000.0,Family,D
188,"Kenan, Gil",Digital,2006,75000000.0,Comedy,D
189,"Kenan, Gil",Digital,2006,75000000.0,Animation,D
190,"Kenan, Gil",Digital,2006,75000000.0,Adventure,D
191,"Thomas, Betty",35 mm,2006,18000000.0,Comedy,F
192,"Kenan, Gil",Digital,2006,75000000.0,Mystery,D
193,"Thomas, Betty",35 mm,2006,18000000.0,Romance,F
194,"Keen, Richie",,2006,,Romance,U
195,"Keen, Richie",,2006,,Comedy,U
196,"Eck, Gary",,2006,,Comedy,U
197,"Eck, Gary",,2006,,Short,U
198,"Eck, Gary",,2006,,Comedy,U
199,"Eck, Gary",,2006,,Short,U
200,"Keen, Richie",,2006,,Short,U
201,"Kendrick, Alex",,2006,,Drama,U
202,"Kendrick, Alex",,2006,,Sport,U
203,"Keshishian, Alek",35 mm,2006,,Comedy,F
204,"Eastwood, Clint",Video,2006,,War,F
205,"Eastwood, Clint",35 mm,2006,53000000.0,Drama,D
206,"Eastwood, Clint",35 mm,2006,53000000.0,History,D
207,"Eastwood, Clint",35 mm,2006,53000000.0,War,D
208,"Eastwood, Clint",35 mm,2006,53000000.0,Drama,F
209,"Eastwood, Clint",35 mm,2006,53000000.0,History,F
210,"Taylor-Johnson, Sam",,2006,,Drama,D
211,"Eastwood, Clint",35 mm,2006,53000000.0,War,F
212,"Eastwood, Clint",Video,2006,53000000.0,Drama,D
213,"Eastwood, Clint",Video,2006,53000000.0,History,D
214,"Eastwood, Clint",Video,2006,53000000.0,War,D
215,"Eastwood, Clint",Video,2006,53000000.0,Drama,F
216,"Eastwood, Clint",Video,2006,53000000.0,History,F
217,"Eastwood, Clint",Video,2006,53000000.0,War,F
218,"Keshishian, Alek",35 mm,2006,,Romance,F
219,"Eastwood, Clint",Video,2006,,Drama,F
220,"Lin, Justin",35 mm,2006,,Drama,F
221,"Dugan, Dennis",35 mm,2006,35000000.0,Family,F
222,"Dugan, Dennis",35 mm,2006,35000000.0,Action,F
223,"Levinson, Barry",35 mm,2006,20000000.0,Romance,F
224,"Levinson, Barry",35 mm,2006,20000000.0,Drama,F
225,"Levinson, Barry",35 mm,2006,20000000.0,Comedy,F
226,"Levine, Jonathan",35 mm,2006,,Horror,F
227,"Stanley, Richard",,2006,,Adventure,U
228,"Stanley, Richard",,2006,,Fantasy,U
229,"Levinson, Barry",35 mm,2006,20000000.0,Thriller,F
230,"Stanley, Richard",,2006,,History,U
231,"Stanley, Richard",,2006,,Mystery,U
232,"Stanley, Richard",,2006,,Sci-Fi,U
233,"Stanley, Richard",,2006,,Short,U
234,"Dey, Tom",35 mm,2006,50000000.0,Comedy,F
235,"Dey, Tom",35 mm,2006,50000000.0,Romance,F
236,"Lembeck, Michael",35 mm,2006,12000000.0,Fantasy,F
237,"Stanley, Richard",,2006,,Horror,U
238,"Stallone, Sylvester",Video,2006,24000000.0,Sport,U
239,"Stallone, Sylvester",Video,2006,24000000.0,Drama,U
240,"Stallone, Sylvester",35 mm,2006,24000000.0,Sport,U
241,"Liebesman, Jonathan",35 mm,2006,16000000.0,Horror,F
242,"Levy, Shawn",35 mm,2006,80000000.0,Mystery,F
243,"Levy, Shawn",35 mm,2006,80000000.0,Family,F
244,"Levy, Shawn",35 mm,2006,80000000.0,Crime,F
245,"Levy, Shawn",35 mm,2006,80000000.0,Comedy,F
246,"Levy, Shawn",35 mm,2006,80000000.0,Adventure,F
247,"Levy, Shawn",35 mm,2006,110000000.0,Fantasy,F
248,"Levy, Shawn",35 mm,2006,110000000.0,Family,F
249,"Levy, Shawn",35 mm,2006,110000000.0,Comedy,F
250,"Levy, Shawn",35 mm,2006,110000000.0,Adventure,F
251,"Stacchi, Anthony",Digital,2006,85000000.0,Adventure,D
252,"Stacchi, Anthony",Digital,2006,85000000.0,Animation,D
253,"Stacchi, Anthony",Digital,2006,85000000.0,Comedy,D
254,"Stacchi, Anthony",Digital,2006,85000000.0,Family,D
255,"Stallone, Sylvester",35 mm,2006,24000000.0,Drama,U
256,"Lembeck, Michael",35 mm,2006,12000000.0,Family,F
257,"Dugan, Dennis",35 mm,2006,35000000.0,Comedy,F
258,"Lembeck, Michael",35 mm,2006,12000000.0,Comedy,F
259,"Ditter, Christian",35 mm,2006,,Comedy,F
260,"Donner, Richard",35 mm,2006,45000000.0,Drama,F
261,"Donner, Richard",35 mm,2006,45000000.0,Thriller,F
262,"Landis, John",,2006,,Short,U
263,"Landis, John",,2006,,Comedy,U
264,"Donovan, Kevin",,2006,,Comedy,U
265,"Donovan, Kevin",,2006,,Short,U
266,"Donner, Richard",35 mm,2006,45000000.0,Crime,F
267,"Donovan, Kevin",,2006,,Comedy,U
268,"LaGravenese, Richard",35 mm,2006,,Romance,F
269,"LaGravenese, Richard",35 mm,2006,,Drama,F
270,"LaGravenese, Richard",35 mm,2006,,Comedy,F
271,"LaBute, Neil",35 mm,2006,,Thriller,F
272,"LaBute, Neil",35 mm,2006,,Mystery,F
273,"LaBute, Neil",35 mm,2006,,Horror,F
274,"Donovan, Kevin",,2006,,Short,U
275,"Donner, Richard",35 mm,2006,45000000.0,Action,F
276,"Lasseter, John",Digital,2006,70000000.0,Animation,D
277,"Lasseter, John",Digital,2006,70000000.0,Comedy,D
278,"Ditter, Christian",35 mm,2006,,Romance,F
279,"Lee, Spike",35 mm,2006,50000000.0,Thriller,F
280,"Lee, Spike",35 mm,2006,50000000.0,Mystery,F
281,"Lee, Spike",35 mm,2006,50000000.0,Drama,F
282,"Lee, Spike",35 mm,2006,50000000.0,Crime,F
283,"Stockwell, John",35 mm,2006,,Horror,F
284,"Stockwell, John",35 mm,2006,,Mystery,F
285,"Stockwell, John",35 mm,2006,,Thriller,F
286,"Dolman, Bob",35 mm,2006,,Comedy,F
287,"Stone, Oliver",35 mm,2006,65000000.0,Drama,F
288,"Stone, Oliver",35 mm,2006,65000000.0,History,F
289,"Stone, Oliver",35 mm,2006,65000000.0,Thriller,F
290,"Dolman, Bob",35 mm,2006,,Family,F
291,"Lasseter, John",Digital,2006,70000000.0,Sport,D
292,"Lasseter, John",Digital,2006,70000000.0,Family,D
293,"Lembeck, Michael",35 mm,2006,12000000.0,Adventure,F
294,"Kasdan, Jake",Video,2006,,Drama,U
295,"Singer, Bryan",35 mm,2006,232000000.0,Adventure,F
296,"Singer, Bryan",35 mm,2006,232000000.0,Sci-Fi,D
297,"Russo, Joe",35 mm,2006,54000000.0,Romance,F
298,"Pang, Danny",35 mm,2006,,Mystery,F
299,"Pang, Danny",35 mm,2006,,Horror,F
300,"Pang, Danny",35 mm,2006,,Fantasy,F
301,"Charles, Larry",Video,2006,18000000.0,Comedy,D
302,"Palud, Xavier",Mini DV,2006,,Thriller,D
303,"Russo, Joe",35 mm,2006,54000000.0,Comedy,F
304,"Palud, Xavier",Mini DV,2006,,Horror,D
305,"Rydell, Mark",35 mm,2006,,Drama,F
306,"Saldanha, Carlos",Digital,2006,75000000.0,Action,D
307,"Saldanha, Carlos",Digital,2006,75000000.0,Adventure,D
308,"Saldanha, Carlos",Digital,2006,75000000.0,Animation,D
309,"Saldanha, Carlos",Digital,2006,75000000.0,Comedy,D
310,"Saldanha, Carlos",Digital,2006,75000000.0,Family,D
311,"Rydell, Mark",35 mm,2006,,Crime,F
312,"Pang, Danny",35 mm,2006,,Thriller,F
313,"Chandrasekhar, Jay",35 mm,2006,,Comedy,F
314,"Russo, Anthony",35 mm,2006,54000000.0,Romance,F
315,"Roth, Joe",35 mm,2006,,Crime,F
316,"Roth, Joe",35 mm,2006,,Drama,F
317,"Roth, Joe",35 mm,2006,,Mystery,F
318,"Chadha, Gurinder",35 mm,2006,,Comedy,F
319,"Chadha, Gurinder",35 mm,2006,,Drama,F
320,"Chadha, Gurinder",35 mm,2006,,Romance,F
321,"Branagh, Kenneth",35 mm,2006,,Romance,F
322,"Branagh, Kenneth",35 mm,2006,,Drama,F
323,"Branagh, Kenneth",35 mm,2006,,Comedy,F
324,"Branagh, Kenneth",35 mm,2006,,Romance,F
325,"Branagh, Kenneth",35 mm,2006,,Musical,F
326,"Branagh, Kenneth",35 mm,2006,,Drama,F
327,"Roth, Joe",35 mm,2006,,Thriller,F
328,"Brambilla, Marco",,2006,,Drama,D
329,"Russo, Anthony",35 mm,2006,54000000.0,Comedy,F
330,"Saldanha, Carlos",Digital,2006,75000000.0,Fantasy,D
331,"Pang, Oxide Chun",35 mm,2006,,Fantasy,F
332,"Oplev, Niels Arden",,2006,,Family,U
333,"Salles, Walter",35 mm,2006,,Comedy,F
334,"Noyce, Phillip",35 mm,2006,,Drama,U
335,"Noyce, Phillip",35 mm,2006,,Biography,U
336,"Noyce, Phillip",16 mm,2006,,History,U
337,"Noyce, Phillip",16 mm,2006,,Drama,U
338,"Noyce, Phillip",16 mm,2006,,Biography,U
339,"Noonan, Chris",35 mm,2006,,Drama,F
340,"Noyce, Phillip",35 mm,2006,,History,U
341,"Noonan, Chris",35 mm,2006,,Biography,F
342,"Sandberg, David F.",,2006,,Animation,U
343,"Sandberg, David F.",,2006,,Short,U
344,"Sandberg, Espen",35 mm,2006,,Action,F
345,"Sandberg, Espen",35 mm,2006,,Comedy,F
346,"Sandberg, Espen",35 mm,2006,,Crime,F
347,"Sandberg, Espen",35 mm,2006,,Western,F
348,"Christiansen, Christian E.",,2006,,Drama,U
349,"Noyce, Phillip",Video,2006,,Biography,U
350,"Noyce, Phillip",Video,2006,,Drama,U
351,"Noyce, Phillip",Video,2006,,History,U
352,"Salles, Walter",35 mm,2006,,Drama,F
353,"Salles, Walter",35 mm,2006,,Romance,F
354,"Oedekerk, Steve",Digital,2006,51000000.0,Family,D
355,"Oedekerk, Steve",Digital,2006,51000000.0,Comedy,D
356,"Salva, Victor",35 mm,2006,,Drama,F
357,"Salva, Victor",35 mm,2006,,Romance,F
358,"Salva, Victor",35 mm,2006,,Sport,F
359,"Sánchez, Eduardo",35 mm,2006,,Horror,F
360,"Sánchez, Eduardo",35 mm,2006,,Sci-Fi,F
361,"Sánchez, Eduardo",35 mm,2006,,Thriller,F
362,"Oedekerk, Steve",Digital,2006,51000000.0,Animation,D
363,"O'Callaghan, Matthew",Digital,2006,50000000.0,Family,D
364,"O'Callaghan, Matthew",Digital,2006,50000000.0,Comedy,D
365,"O'Callaghan, Matthew",Digital,2006,50000000.0,Animation,D
366,"O'Callaghan, Matthew",Digital,2006,50000000.0,Adventure,D
367,"Oplev, Niels Arden",,2006,,Drama,U
368,"Nolan, Christopher",35 mm,2006,40000000.0,Thriller,F
369,"Pang, Oxide Chun",35 mm,2006,,Horror,F
370,"Pang, Oxide Chun",35 mm,2006,,Thriller,F
371,"Pytka, Joe",,2006,,Family,U
372,"Burger, Neil",35 mm,2006,16500000.0,Thriller,F
373,"Burger, Neil",35 mm,2006,16500000.0,Romance,F
374,"Burger, Neil",35 mm,2006,16500000.0,Mystery,F
375,"Burger, Neil",35 mm,2006,16500000.0,Drama,F
376,"Campbell, Martin",35 mm,2006,102000000.0,Action,F
377,"Pytka, Joe",,2006,,Short,U
378,"Campbell, Martin",35 mm,2006,102000000.0,Adventure,F
379,"Ponsoldt, James",35 mm,2006,,Drama,F
380,"Campion, Jane",,2006,,Drama,U
381,"Campion, Jane",,2006,,Short,U
382,"Pink, Steve",35 mm,2006,23000000.0,Comedy,F
383,"Phillips, Todd",35 mm,2006,,Comedy,F
384,"Carnahan, Joe",35 mm,2006,17000000.0,Action,F
385,"Campbell, Martin",35 mm,2006,102000000.0,Thriller,F
386,"Reynolds, Kevin",35 mm,2006,,Romance,F
387,"Reynolds, Kevin",35 mm,2006,,Drama,F
388,"Rajamouli, S.S.",,2006,,Action,U
389,"Ratner, Brett",35 mm,2006,210000000.0,Thriller,F
390,"Ratner, Brett",35 mm,2006,210000000.0,Sci-Fi,F
391,"Reed, Peyton",35 mm,2006,52000000.0,Comedy,F
392,"Reed, Peyton",35 mm,2006,52000000.0,Drama,F
393,"Reed, Peyton",35 mm,2006,52000000.0,Romance,F
394,"Ratner, Brett",35 mm,2006,210000000.0,Fantasy,F
395,"Ratner, Brett",35 mm,2006,210000000.0,Adventure,F
396,"Ratner, Brett",35 mm,2006,210000000.0,Action,F
397,"Ranft, Joe",Digital,2006,70000000.0,Sport,D
398,"Ranft, Joe",Digital,2006,70000000.0,Family,D
399,"Ranft, Joe",Digital,2006,70000000.0,Comedy,D
400,"Ranft, Joe",Digital,2006,70000000.0,Animation,D
401,"Reitman, Ivan",35 mm,2006,,Comedy,F
402,"Reitman, Ivan",35 mm,2006,,Romance,F
403,"Reitman, Ivan",35 mm,2006,,Sci-Fi,F
404,"Robbins, Brian",35 mm,2006,60000000.0,Comedy,F
405,"Pang, Oxide Chun",35 mm,2006,,Mystery,F
406,"Robbins, Brian",35 mm,2006,60000000.0,Family,F
407,"Carnahan, Joe",35 mm,2006,17000000.0,Crime,F
408,"Parker, Oliver",35 mm,2006,,Thriller,F
409,"Rønning, Joachim",35 mm,2006,,Crime,F
410,"Rønning, Joachim",35 mm,2006,,Western,F
411,"Parker, Oliver",35 mm,2006,,Mystery,F
412,"Cassavetes, Nick",35 mm,2006,,Biography,F
413,"Cassavetes, Nick",35 mm,2006,,Crime,F
414,"Rønning, Joachim",35 mm,2006,,Comedy,F
415,"Cassavetes, Nick",35 mm,2006,,Drama,F
416,"Caton-Jones, Michael",35 mm,2006,,Mystery,F
417,"Caton-Jones, Michael",35 mm,2006,,Thriller,F
418,"Cattaneo, Peter",35 mm,2006,,Drama,F
419,"Cattaneo, Peter",35 mm,2006,,Family,F
420,"Pang, Oxide Chun",35 mm,2006,,Thriller,F
421,"Pang, Oxide Chun",35 mm,2006,,Horror,F
422,"Caton-Jones, Michael",35 mm,2006,,Drama,F
423,"Rønning, Joachim",35 mm,2006,,Action,F
424,"Payne, Alexander",35 mm,2006,,Comedy,F
425,"Payne, Alexander",35 mm,2006,,Drama,F
426,"Carnahan, Joe",35 mm,2006,17000000.0,Drama,F
427,"Carnahan, Joe",35 mm,2006,17000000.0,Thriller,F
428,"Petrie, Donald",35 mm,2006,,Romance,F
429,"Petrie, Donald",35 mm,2006,,Fantasy,F
430,"Petrie, Donald",35 mm,2006,,Comedy,F
431,"Petersen, Wolfgang",35 mm,2006,160000000.0,Thriller,F
432,"Petersen, Wolfgang",35 mm,2006,160000000.0,Drama,F
433,"Petersen, Wolfgang",35 mm,2006,160000000.0,Adventure,F
434,"Petersen, Wolfgang",35 mm,2006,160000000.0,Action,F
435,"Perry, Tyler",35 mm,2006,10000000.0,Romance,F
436,"Brewer, Craig",35 mm,2006,,Music,F
437,"Brewer, Craig",35 mm,2006,,Drama,F
438,"Perry, Tyler",35 mm,2006,10000000.0,Drama,F
439,"Perry, Tyler",35 mm,2006,10000000.0,Comedy,F
440,"Payne, Alexander",35 mm,2006,,Romance,F
441,"Robbins, Brian",35 mm,2006,60000000.0,Fantasy,F
442,"Singer, Bryan",35 mm,2006,232000000.0,Action,F
443,"Nolan, Christopher",35 mm,2006,40000000.0,Sci-Fi,F
444,"Bowers, David",Digital,2006,149000000.0,Comedy,D
445,"Miller, George",Digital,2006,85000000.0,Comedy,D
446,"Miller, George",Digital,2006,85000000.0,Animation,D
447,"Michell, Roger",16 mm,2006,,Romance,F
448,"Michell, Roger",16 mm,2006,,Drama,F
449,"Michell, Roger",16 mm,2006,,Comedy,F
450,"Condon, Bill",35 mm,2006,75000000.0,Drama,F
451,"Miller, George",Digital,2006,85000000.0,Family,D
452,"Condon, Bill",35 mm,2006,75000000.0,Music,F
453,"Meyers, Nancy",35 mm,2006,85000000.0,Romance,F
454,"Meyers, Nancy",35 mm,2006,85000000.0,Comedy,F
455,"Coolidge, Greg",35 mm,2006,10000000.0,Comedy,F
456,"Coolidge, Greg",35 mm,2006,10000000.0,Romance,F
457,"Coolidge, Martha",35 mm,2006,,Comedy,F
458,"Coolidge, Martha",35 mm,2006,,Family,F
459,"Condon, Bill",35 mm,2006,75000000.0,Musical,F
460,"Miller, George",Digital,2006,85000000.0,Music,D
461,"Miller, George",Digital,2006,85000000.0,Musical,D
462,"Miller, George",Digital,2006,85000000.0,Romance,D
463,"Coleman, Warren",Digital,2006,85000000.0,Animation,D
464,"Coleman, Warren",Digital,2006,85000000.0,Comedy,D
465,"Coleman, Warren",Digital,2006,85000000.0,Family,D
466,"Coleman, Warren",Digital,2006,85000000.0,Music,D
467,"Coleman, Warren",Digital,2006,85000000.0,Musical,D
468,"Coleman, Warren",Digital,2006,85000000.0,Romance,D
469,"Minghella, Anthony",35 mm,2006,,Drama,F
470,"Minghella, Anthony",35 mm,2006,,Crime,F
471,"Blomkamp, Neill",,2006,,Short,U
472,"Blomkamp, Neill",,2006,,Sci-Fi,U
473,"Blomkamp, Neill",,2006,,Action,U
474,"Blomkamp, Neill",,2006,,Short,U
475,"Blomkamp, Neill",,2006,,Sci-Fi,U
476,"Blomkamp, Neill",,2006,,Romance,U
477,"Blomkamp, Neill",,2006,,Drama,U
